# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
93 3.874999999999999e-10 2.966999687250768e-18 7.607691505771201e-05 1.901922876442800e-04 3.216060798703170e-04 7.607691505771201e-17
94 3.916666666666666e-10 2.983041788916531e-18 7.648825099785976e-05 1.912206274946494e-04 3.238226520923823e-04 7.648825099785976e-17
95 3.958333333333332e-10 2.998899213400228e-18 7.689485162564687e-05 1.922371290641172e-04 3.260163050664667e-04 7.689485162564688e-17
96 3.999999999999999e-10 3.014574202849808e-18 7.729677443204635e-05 1.932419360801159e-04 3.281872289441683e-04 7.729677443204636e-17
97 4.041666666666665e-10 3.030068967725420e-18 7.769407609552359e-05 1.942351902388090e-04 3.303356140362173e-04 7.769407609552359e-17
98 4.083333333333332e-10 3.045385687220371e-18 7.808681249283004e-05 1.952170312320751e-04 3.324616508124757e-04 7.808681249283004e-17
99 4.124999999999999e-10 3.060526510263104e-18 7.847503872469497e-05 1.961875968117374e-04 3.345655297687109e-04 7.847503872469497e-17
100 4.166666666666665e-10 3.075493555774952e-18 7.885880912243468e-05 1.971470228060867e-04 3.366474413303760e-04 7.885880912243469e-17
101 4.208333333333332e-10 3.090288913374951e-18 7.923817726602439e-05 1.980954431650610e-04 3.387075759340264e-04 7.923817726602439e-17
102 4.249999999999999e-10 3.104914643994340e-18 7.961319599985488e-05 1.990329899996372e-04 3.407461237534648e-04 7.961319599985489e-17
103 4.291666666666665e-10 3.119372780388749e-18 7.998391744586537e-05 1.999597936146634e-04 3.427632747034420e-04 7.998391744586537e-17
104 4.333333333333332e-10 3.133665327630583e-18 8.035039301616881e-05 2.008759825404220e-04 3.447592184359554e-04 8.035039301616882e-17
105 4.374999999999998e-10 3.147794263591412e-18 8.071267342542084e-05 2.017816835635521e-04 3.467341442144250e-04 8.071267342542083e-17
106 4.416666666666665e-10 3.161761539527802e-18 8.107080870584107e-05 2.026770217646027e-04 3.486882408655826e-04 8.107080870584106e-17
107 4.458333333333332e-10 3.175569080488202e-18 8.142484821764621e-05 2.035621205441156e-04 3.506216967054580e-04 8.142484821764621e-17
108 4.499999999999998e-10 3.189218785843833e-18 8.177484066266239e-05 2.044371016566560e-04 3.525346995467794e-04 8.177484066266239e-17
109 4.541666666666665e-10 3.202712529708519e-18 8.212083409509023e-05 2.053020852377256e-04 3.544274365916524e-04 8.212083409509022e-17
110 4.583333333333332e-10 3.216052161350037e-18 8.246287593205223e-05 2.061571898301306e-04 3.563000944278592e-04 8.246287593205224e-17
111 4.624999999999999e-10 3.229239505646783e-18 8.280101296530214e-05 2.070025324132554e-04 3.581528589215370e-04 8.280101296530214e-17
112 4.666666666666665e-10 3.242276363556289e-18 8.313529137323820e-05 2.078382284330955e-04 3.599859152134778e-04 8.313529137323820e-17
113 4.708333333333332e-10 3.255164512398513e-18 8.346575672816700e-05 2.086643918204175e-04 3.617994477265286e-04 8.346575672816701e-17
114 4.749999999999998e-10 3.267905706342487e-18 8.379245400878171e-05 2.094811350219543e-04 3.635936400582711e-04 8.379245400878171e-17
115 4.791666666666665e-10 3.280501676857066e-18 8.411542761171965e-05 2.102885690292991e-04 3.653686749625174e-04 8.411542761171965e-17
116 4.833333333333331e-10 3.292954132983495e-18 8.443472135855116e-05 2.110868033963779e-04 3.671247342900982e-04 8.443472135855117e-17
117 4.874999999999998e-10 3.305264761661620e-18 8.475037850414411e-05 2.118759462603603e-04 3.688619990443739e-04 8.475037850414411e-17
118 4.916666666666665e-10 3.317435228170837e-18 8.506244174797019e-05 2.126561043699255e-04 3.705806492591102e-04 8.506244174797018e-17
119 4.958333333333331e-10 3.329467176466858e-18 8.537095324273996e-05 2.134273831068499e-04 3.722808640465877e-04 8.537095324273995e-17
120 4.999999999999998e-10 3.341362229423370e-18 8.567595460059925e-05 2.141898865014981e-04 3.739628214828788e-04 8.567595460059924e-17
121 5.041666666666665e-10 3.353121989412312e-18 8.597748690800799e-05 2.149437172700200e-04 3.756266986337528e-04 8.597748690800800e-17
122 5.083333333333331e-10 3.364748038329780e-18 8.627559072640462e-05 2.156889768160116e-04 3.772726715842823e-04 8.627559072640462e-17
123 5.124999999999998e-10 3.376241938132264e-18 8.657030610595548e-05 2.164257652648887e-04 3.789009152908130e-04 8.657030610595548e-17
124 5.166666666666665e-10 3.387605231034823e-18 8.686167259063650e-05 2.171541814765913e-04 3.805116036919861e-04 8.686167259063650e-17
125 5.208333333333331e-10 3.398839439859326e-18 8.714972922716222e-05 2.178743230679056e-04 3.821049095903148e-04 8.714972922716222e-17
