# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
190 4.947916666666665e-11 6.089500950635831e-19 1.561410500163034e-05 3.903526250407584e-05 4.985814031328465e-05 1.561410500163034e-17
191 4.973958333333331e-11 6.116768421445350e-19 1.568402159344961e-05 3.921005398362404e-05 5.011808048637462e-05 1.568402159344961e-17
192 4.999999999999998e-11 6.144002488866017e-19 1.575385253555389e-05 3.938463133888473e-05 5.037800576767310e-05 1.575385253555389e-17
193 5.026041666666665e-11 6.171203257477142e-19 1.582359809609524e-05 3.955899524023810e-05 5.063791587592357e-05 1.582359809609524e-17
194 5.052083333333331e-11 6.198370829403975e-19 1.589325853693327e-05 3.973314634233318e-05 5.089781036703685e-05 1.589325853693327e-17
195 5.078124999999998e-11 6.225505308184530e-19 1.596283412355008e-05 3.990708530887520e-05 5.115768897455938e-05 1.596283412355008e-17
196 5.104166666666665e-11 6.252606796189233e-19 1.603232511843393e-05 4.008081279608483e-05 5.141755143203762e-05 1.603232511843393e-17
197 5.130208333333331e-11 6.279675395137180e-19 1.610173178240303e-05 4.025432945600756e-05 5.167739739900323e-05 1.610173178240303e-17
198 5.156249999999998e-11 6.306711205479500e-19 1.617105437302436e-05 4.042763593256091e-05 5.193722657939669e-05 1.617105437302436e-17
199 5.182291666666665e-11 6.333714327313438e-19 1.624029314695753e-05 4.060073286739384e-05 5.219703857353773e-05 1.624029314695754e-17
200 5.208333333333332e-11 6.360684859624630e-19 1.630944835801187e-05 4.077362089502969e-05 5.245683310016986e-05 1.630944835801187e-17
