# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
229 9.541666666666663e-10 -7.179065612811045e-21 -1.840786054566935e-07 2.393836482735819e-06
230 9.583333333333330e-10 -1.242098259199649e-20 -3.184867331281153e-07 2.737597672625026e-06
231 9.624999999999997e-10 -1.750266902864414e-20 -4.487863853498497e-07 3.061799861071632e-06
232 9.666666666666662e-10 -2.240328733554269e-20 -5.744432650139151e-07 3.365285186755359e-06
233 9.708333333333329e-10 -2.710325738720822e-20 -6.949553176207237e-07 3.677507552511618e-06
234 9.749999999999996e-10 -3.158432353239077e-20 -8.098544495484813e-07 4.081611136810101e-06
235 9.791666666666663e-10 -3.582961389182629e-20 -9.187080485083665e-07 4.458623768865197e-06
236 9.833333333333330e-10 -3.982369257406085e-20 -1.021120322411817e-06 4.807286378562316e-06
237 9.874999999999997e-10 -4.355260395095987e-20 -1.116733434639997e-06 5.126499267793180e-06
238 9.916666666666662e-10 -4.700390957891491e-20 -1.205228450741408e-06 5.415324072358833e-06
239 9.958333333333329e-10 -5.016671732554474e-20 -1.286326085270378e-06 5.672985175653577e-06
240 9.999999999999996e-10 -5.303170270226073e-20 -1.359787248775916e-06 5.898870485821084e-06
241 1.004166666666666e-09 -5.559112280996318e-20 -1.425413405383671e-06 6.155800570033203e-06
242 1.008333333333333e-09 -5.783882263992719e-20 -1.483046734357108e-06 6.403131566139345e-06
243 1.012500000000000e-09 -5.977023367825225e-20 -1.532570094314160e-06 6.615449077529243e-06
244 1.016666666666666e-09 -6.138236549259215e-20 -1.573906807502363e-06 6.792433060213969e-06
245 1.020833333333333e-09 -6.267378983024561e-20 -1.607020252057580e-06 6.933936750113484e-06
246 1.025000000000000e-09 -6.364461776495543e-20 -1.631913276024498e-06 7.039984220565957e-06
247 1.029166666666666e-09 -6.429647002009192e-20 -1.648627436412613e-06 7.110766122772100e-06
248 1.033333333333333e-09 -6.463244074744173e-20 -1.657242070447224e-06 7.185619912188799e-06
249 1.037500000000000e-09 -6.465705488816735e-20 -1.657873202260701e-06 7.241478507364010e-06
250 1.041666666666666e-09 -6.437621962404955e-20 -1.650672298052553e-06 7.262104748471034e-06
251 1.045833333333333e-09 -6.379717008462090e-20 -1.635824873964639e-06 7.248086805764834e-06
252 1.050000000000000e-09 -6.292840975649990e-20 -1.613548968115382e-06 7.200164243212618e-06
253 1.054166666666666e-09 -6.177964599386631e-20 -1.584093487022213e-06 7.129480369284846e-06
254 1.058333333333333e-09 -6.036172089893616e-20 -1.547736433306055e-06 7.050846536188637e-06
255 1.062500000000000e-09 -5.868653813920560e-20 -1.504783029210400e-06 6.940492820826451e-06
256 1.066666666666666e-09 -5.676698612667894e-20 -1.455563746837921e-06 6.800618608307054e-06
