run_id,gap_nm,mode,coordinate_nm,fluid_area_m2,pressure_section_mean_Pa,Q_total_m3_s,Q_gap_m3_s,Q_recess_m3_s,recess_fraction_of_Q,periodic_section_pressure_gradient_Pa_m
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,67.5,4.2000000000000004e-14,-3.4254876816911355,2.998786499667794e-18,1.7127197925219662e-18,1.2860667071458276e-18,0.4288623772610349,60356348.67137385
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,72.5,4.2000000000000004e-14,-3.1207205753596057,2.9987864975222544e-18,1.6860862339854068e-18,1.3127002635368478e-18,0.437743822249922,61543263.079864636
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,77.5,4.2000000000000004e-14,-2.810055050892489,2.9987864985008275e-18,1.6600413085143375e-18,1.3387451899864898e-18,0.4464289774066156,62694768.643095374
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,82.5,4.2000000000000004e-14,-2.493772888928652,2.9987864940868025e-18,1.6354834735011536e-18,1.363303020585649e-18,0.45461823416701935,63773687.57412545
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,87.5,4.2000000000000004e-14,-2.1723181751512346,2.9987864883872324e-18,1.6130663154854118e-18,1.3857201729018205e-18,0.46209364296791605,64753559.74620298
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,92.5,4.2000000000000004e-14,-1.846237291466622,2.9987864830091308e-18,1.593235630707568e-18,1.4055508523015626e-18,0.46870654521930594,65616563.92401174
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,97.5,4.2000000000000004e-14,-1.5161525359111172,2.998786478490268e-18,1.5763195258386988e-18,1.4224669526515688e-18,0.474347527859905,66350011.832657315
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,102.5,4.2000000000000004e-14,-1.182737173140049,2.998786462175407e-18,1.5625500320311403e-18,1.4362364301442666e-18,0.4789392136652434,66945185.033338405
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,107.5,4.2000000000000004e-14,-0.8467006855777331,2.9987864521166348e-18,1.552094082808253e-18,1.4466923693083819e-18,0.4824259387617489,67395921.95089373
sim_ec1xt240_right_angle_h75_dx5_a1e5_y_20260909,75,y,112.5,4.2000000000000004e-14,-0.5087779536311116,2.9987864442908796e-18,1.5450647818852303e-18,1.4537216624056495e-18,0.48476998592989495,67698226.12227428
